firstname,lastname,birthmonth,birthday,birthyear,course,phonenumber,,,Birth's Per Month,,Birth's Per Day,,Birth's Per Year,,Person's Per Course,,Globe or Smart,,,
name128,lastname128,June,20,98,BS Legal Management,639188723714.00,918.87,918,,,,,,,,,,,,
name129,lastname129,October,25,98,BS Management Engineering,639273995328.00,927.40,927,,,,,,,,,,,,
name130,lastname130,July,18,0,BS Management,639273848421.00,927.38,927,,,,,,,,,,,,
name131,lastname131,February,23,99,BS Comtech,639272789317.00,927.28,927,,,,,,,,,,,,
name132,lastname132,September,10,99,BS Legal Management,639274503540.00,927.45,927,,,,,,,,,,,,
name133,lastname133,April,18,99,BS Comtech,639271507228.00,927.15,927,,,,,,,,,,,,
name134,lastname134,May,7,0,BS Management,639189955243.00,919.00,918,,,,,,,,,,,,
name135,lastname135,October,3,99,BS Comtech,639279499628.00,927.95,927,,,,,,,,,,,,
name136,lastname136,October,5,0,BS Management,639275581218.00,927.56,927,,,,,,,,,,,,
name137,lastname137,June,5,98,BS Management Engineering,639181917948.00,918.19,918,,,,,,,,,,,,
name138,lastname138,February,5,97,BS IT Entrepreneurship,639186366121.00,918.64,918,,,,,,,,,,,,
name139,lastname139,April,8,99,BS IT Entrepreneurship,639185323276.00,918.53,918,,,,,,,,,,,,
name140,lastname140,September,2,99,BS Management Engineering,639277951469.00,927.80,927,,,,,,,,,,,,
name141,lastname141,June,8,98,BS Legal Management,639274308948.00,927.43,927,,,,,,,,,,,,
name142,lastname142,December,3,99,BS Legal Management,639186594663.00,918.66,918,,,,,,,,,,,,
name143,lastname143,November,15,99,BS Management Engineering,639277168308.00,927.72,927,,,,,,,,,,,,
name144,lastname144,October,14,98,BS Management Engineering,639178554111.00,917.86,917,,,,,,,,,,,,
name145,lastname145,February,9,1,BS Management,639182562335.00,918.26,918,,,,,,,,,,,,
name146,lastname146,September,11,98,BS Management,639272488520.00,927.25,927,,,,,,,,,,,,
name147,lastname147,December,6,99,BS Legal Management,639178569506.00,917.86,917,,,,,,,,,,,,
name148,lastname148,November,13,0,BS Legal Management,639279892750.00,927.99,927,,,,,,,,,,,,
name149,lastname149,September,18,97,BS Management,639271244294.00,927.12,927,,,,,,,,,,,,
name150,lastname150,August,5,97,BS Management Engineering,639181625544.00,918.16,918,,,,,,,,,,,,
name151,lastname151,May,17,98,BS Legal Management,639184692092.00,918.47,918,,,,,,,,,,,,
name152,lastname152,March,15,99,BS Legal Management,639271451261.00,927.15,927,,,,,,,,,,,,
name153,lastname153,November,2,99,BS Management Engineering,639274152246.00,927.42,927,,,,,,,,,,,,
name154,lastname154,August,2,99,BS Management,639183319863.00,918.33,918,,,,,,,,,,,,
name155,lastname155,December,14,99,BS Legal Management,639186492584.00,918.65,918,,,,,,,,,,,,
name156,lastname156,April,3,98,BS Management,639181467027.00,918.15,918,,,,,,,,,,,,
name157,lastname157,August,13,97,BS Management Engineering,639274759634.00,927.48,927,,,,,,,,,,,,
name158,lastname158,January,28,99,BS Legal Management,639275946138.00,927.59,927,,,,,,,,,,,,
name159,lastname159,October,12,98,BS Management,639276535975.00,927.65,927,,,,,,,,,,,,
name160,lastname160,December,25,0,BS Comtech,639171376557.00,917.14,917,,,,,,,,,,,,
name161,lastname161,January,1,0,BS Comtech,639172893619.00,917.29,917,,,,,,,,,,,,
name162,lastname162,January,26,0,BS Comtech,639173886944.00,917.39,917,,,,,,,,,,,,
name163,lastname163,April,17,99,BS IT Entrepreneurship,639173073272.00,917.31,917,,,,,,,,,,,,
name164,lastname164,May,25,97,BS IT Entrepreneurship,639179259571.00,917.93,917,,,,,,,,,,,,
name165,lastname165,August,12,98,BS Management,639182812519.00,918.28,918,,,,,,,,,,,,
name166,lastname166,February,16,99,BS Management Engineering,639185369523.00,918.54,918,,,,,,,,,,,,
name167,lastname167,April,4,0,BS Management,639187053266.00,918.71,918,,,,,,,,,,,,
name168,lastname168,July,5,97,BS Management Engineering,639275111039.00,927.51,927,,,,,,,,,,,,
name169,lastname169,April,13,98,BS Management Engineering,639182843059.00,918.28,918,,,,,,,,,,,,
name170,lastname170,June,9,0,BS IT Entrepreneurship,639277977430.00,927.80,927,,,,,,,,,,,,
name171,lastname171,August,17,97,BS Legal Management,639182274954.00,918.23,918,,,,,,,,,,,,
name172,lastname172,September,24,0,BS Comtech,639173081448.00,917.31,917,,,,,,,,,,,,
name173,lastname173,August,13,98,BS Management Engineering,639171806600.00,917.18,917,,,,,,,,,,,,
name174,lastname174,October,19,98,BS Management Engineering,639271855392.00,927.19,927,,,,,,,,,,,,
name175,lastname175,June,1,99,BS Management Engineering,639174921000.00,917.49,917,,,,,,,,,,,,
name176,lastname176,June,9,99,BS IT Entrepreneurship,639277872528.00,927.79,927,,,,,,,,,,,,
name177,lastname177,July,1,1,BS Management Engineering,639276147614.00,927.61,927,,,,,,,,,,,,
name178,lastname178,June,12,1,BS IT Entrepreneurship,639177359355.00,917.74,917,,,,,,,,,,,,
name179,lastname179,May,4,98,BS Legal Management,639277287081.00,927.73,927,,,,,,,,,,,,
name180,lastname180,March,22,99,BS IT Entrepreneurship,639172574982.00,917.26,917,,,,,,,,,,,,
name181,lastname181,March,27,99,BS Management Engineering,639177446240.00,917.74,917,,,,,,,,,,,,
name182,lastname182,June,2,98,BS Comtech,639175027471.00,917.50,917,,,,,,,,,,,,
name183,lastname183,June,17,97,BS Management,639185822278.00,918.58,918,,,,,,,,,,,,
name184,lastname184,December,23,98,BS IT Entrepreneurship,639278914782.00,927.89,927,,,,,,,,,,,,
name185,lastname185,April,18,97,BS Management Engineering,639172485615.00,917.25,917,,,,,,,,,,,,
name186,lastname186,November,19,97,BS Management Engineering,639188593958.00,918.86,918,,,,,,,,,,,,
name187,lastname187,April,18,1,BS Legal Management,639175755267.00,917.58,917,,,,,,,,,,,,
name188,lastname188,September,2,97,BS Management Engineering,639186214437.00,918.62,918,,,,,,,,,,,,
name189,lastname189,December,7,0,BS Management,639184478973.00,918.45,918,,,,,,,,,,,,
name190,lastname190,July,6,97,BS Management,639184092087.00,918.41,918,,,,,,,,,,,,
name191,lastname191,May,7,99,BS Legal Management,639187421522.00,918.74,918,,,,,,,,,,,,
name192,lastname192,July,9,99,BS IT Entrepreneurship,639172225936.00,917.22,917,,,,,,,,,,,,
name193,lastname193,May,25,97,BS Management Engineering,639187306896.00,918.73,918,,,,,,,,,,,,
name194,lastname194,September,2,98,BS Legal Management,639173998033.00,917.40,917,,,,,,,,,,,,
name195,lastname195,July,15,1,BS Management Engineering,639178189641.00,917.82,917,,,,,,,,,,,,
name196,lastname196,May,6,1,BS Management Engineering,639274868768.00,927.49,927,,,,,,,,,,,,
name197,lastname197,October,24,1,BS Management Engineering,639187088549.00,918.71,918,,,,,,,,,,,,
name198,lastname198,June,15,97,BS Legal Management,639276426498.00,927.64,927,,,,,,,,,,,,
name199,lastname199,January,4,99,BS Comtech,639275363811.00,927.54,927,,,,,,,,,,,,
name200,lastname200,November,13,98,BS Management,639186217426.00,918.62,918,,,,,,,,,,,,
name201,lastname201,October,27,97,BS Management,639176819326.00,917.68,917,,,,,,,,,,,,
name202,lastname202,April,15,0,BS Management,639183415085.00,918.34,918,,,,,,,,,,,,
name203,lastname203,March,25,98,BS Management Engineering,639184195644.00,918.42,918,,,,,,,,,,,,
name204,lastname204,November,4,97,BS IT Entrepreneurship,639273835918.00,927.38,927,,,,,,,,,,,,
name205,lastname205,March,12,0,BS Management,639171734981.00,917.17,917,,,,,,,,,,,,
name206,lastname206,December,19,97,BS Management Engineering,639173094697.00,917.31,917,,,,,,,,,,,,
name207,lastname207,November,27,0,BS IT Entrepreneurship,639187445680.00,918.74,918,,,,,,,,,,,,
name208,lastname208,October,20,99,BS Comtech,639183143702.00,918.31,918,,,,,,,,,,,,
name209,lastname209,March,16,99,BS Comtech,639177648372.00,917.76,917,,,,,,,,,,,,
name210,lastname210,April,2,98,BS IT Entrepreneurship,639277507712.00,927.75,927,,,,,,,,,,,,
name211,lastname211,January,26,99,BS Management,639277447095.00,927.74,927,,,,,,,,,,,,
name212,lastname212,November,2,99,BS Management,639176005892.00,917.60,917,,,,,,,,,,,,
name213,lastname213,August,23,99,BS Management,639184824436.00,918.48,918,,,,,,,,,,,,
name214,lastname214,June,8,99,BS Comtech,639172291656.00,917.23,917,,,,,,,,,,,,
name215,lastname215,November,1,98,BS Comtech,639171297511.00,917.13,917,,,,,,,,,,,,
name216,lastname216,October,23,99,BS Legal Management,639279316222.00,927.93,927,,,,,,,,,,,,
name217,lastname217,May,2,98,BS Management Engineering,639175108517.00,917.51,917,,,,,,,,,,,,
name218,lastname218,April,19,1,BS Comtech,639278599615.00,927.86,927,,,,,,,,,,,,
name219,lastname219,May,28,97,BS IT Entrepreneurship,639188833812.00,918.88,918,,,,,,,,,,,,
name220,lastname220,March,25,1,BS Management,639278553696.00,927.86,927,,,,,,,,,,,,
name221,lastname221,July,12,1,BS Management Engineering,639178691592.00,917.87,917,,,,,,,,,,,,
name222,lastname222,September,5,99,BS Legal Management,639273902398.00,927.39,927,,,,,,,,,,,,
name223,lastname223,February,9,97,BS Management,639182503159.00,918.25,918,,,,,,,,,,,,
name224,lastname224,December,18,1,BS Management,639179141992.00,917.91,917,,,,,,,,,,,,
name225,lastname225,February,27,98,BS Management Engineering,639171681549.00,917.17,917,,,,,,,,,,,,
name226,lastname226,March,12,97,BS Legal Management,639188129824.00,918.81,918,,,,,,,,,,,,
name227,lastname227,October,8,97,BS Management,639186763675.00,918.68,918,,,,,,,,,,,,
name228,lastname228,November,16,99,BS Management,639276169286.00,927.62,927,,,,,,,,,,,,
name229,lastname229,June,11,99,BS Legal Management,639279758823.00,927.98,927,,,,,,,,,,,,
name230,lastname230,December,4,97,BS Comtech,639175592469.00,917.56,917,,,,,,,,,,,,
name231,lastname231,May,22,98,BS IT Entrepreneurship,639275972823.00,927.60,927,,,,,,,,,,,,
name232,lastname232,April,17,0,BS Management,639174189979.00,917.42,917,,,,,,,,,,,,
name233,lastname233,June,13,1,BS Management Engineering,639275234422.00,927.52,927,,,,,,,,,,,,
name234,lastname234,February,6,97,BS Comtech,639179116706.00,917.91,917,,,,,,,,,,,,
name235,lastname235,July,7,99,BS Management,639186569527.00,918.66,918,,,,,,,,,,,,
name236,lastname236,October,23,98,BS Management,639172513024.00,917.25,917,,,,,,,,,,,,
name237,lastname237,December,14,98,BS Legal Management,639279408616.00,927.94,927,,,,,,,,,,,,
name238,lastname238,March,4,0,BS Comtech,639172613868.00,917.26,917,,,,,,,,,,,,
name239,lastname239,February,5,97,BS Legal Management,639279762990.00,927.98,927,,,,,,,,,,,,
name240,lastname240,April,21,1,BS Legal Management,639179622388.00,917.96,917,,,,,,,,,,,,
name241,lastname241,September,7,0,BS Comtech,639175603594.00,917.56,917,,,,,,,,,,,,
name242,lastname242,June,1,98,BS IT Entrepreneurship,639172676749.00,917.27,917,,,,,,,,,,,,
name243,lastname243,November,19,98,BS Comtech,639183889243.00,918.39,918,,,,,,,,,,,,
name244,lastname244,January,1,0,BS Comtech,639184188388.00,918.42,918,,,,,,,,,,,,
name245,lastname245,March,5,99,BS Management Engineering,639183874071.00,918.39,918,,,,,,,,,,,,
name246,lastname246,January,26,98,BS Comtech,639188712841.00,918.87,918,,,,,,,,,,,,
name247,lastname247,August,3,98,BS Management,639172423611.00,917.24,917,,,,,,,,,,,,
name248,lastname248,March,22,98,BS Legal Management,639172132389.00,917.21,917,,,,,,,,,,,,
name249,lastname249,December,9,0,BS Management Engineering,639175483044.00,917.55,917,,,,,,,,,,,,
name250,lastname250,May,24,1,BS Management Engineering,639272646574.00,927.26,927,,,,,,,,,,,,
name251,lastname251,January,9,0,BS Comtech,639175828763.00,917.58,917,,,,,,,,,,,,
name252,lastname252,December,6,1,BS Management,639278006849.00,927.80,927,,,,,,,,,,,,
name253,lastname253,April,18,97,BS Management Engineering,639184142565.00,918.41,918,,,,,,,,,,,,
name254,lastname254,August,3,97,BS Comtech,639179846143.00,917.98,917,,,,,,,,,,,,
name255,lastname255,January,6,1,BS Management Engineering,639272348693.00,927.23,927,,,,,,,,,,,,
name256,lastname256,December,7,97,BS Management,639189449432.00,918.94,918,,,,,,,,,,,,
name257,lastname257,April,19,97,BS IT Entrepreneurship,639179968937.00,918.00,917,,,,,,,,,,,,
name258,lastname258,June,7,1,BS IT Entrepreneurship,639171697326.00,917.17,917,,,,,,,,,,,,
name259,lastname259,March,20,99,BS IT Entrepreneurship,639279161852.00,927.92,927,,,,,,,,,,,,
name260,lastname260,November,15,0,BS Comtech,639178435692.00,917.84,917,,,,,,,,,,,,
name261,lastname261,June,4,97,BS Legal Management,639184567658.00,918.46,918,,,,,,,,,,,,
name262,lastname262,July,26,98,BS Comtech,639177714152.00,917.77,917,,,,,,,,,,,,
name263,lastname263,January,1,0,BS Management,639177734858.00,917.77,917,,,,,,,,,,,,
name264,lastname264,November,1,1,BS IT Entrepreneurship,639181086505.00,918.11,918,,,,,,,,,,,,
name265,lastname265,November,26,1,BS Management,639183329306.00,918.33,918,,,,,,,,,,,,
name266,lastname266,December,5,97,BS Management,639175518922.00,917.55,917,,,,,,,,,,,,
name267,lastname267,July,5,99,BS Legal Management,639175379153.00,917.54,917,,,,,,,,,,,,
name268,lastname268,October,21,99,BS Management Engineering,639273739092.00,927.37,927,,,,,,,,,,,,
name269,lastname269,October,18,1,BS Legal Management,639184417553.00,918.44,918,,,,,,,,,,,,
name270,lastname270,April,24,98,BS IT Entrepreneurship,639273958754.00,927.40,927,,,,,,,,,,,,
name271,lastname271,March,25,97,BS Management Engineering,639183513825.00,918.35,918,,,,,,,,,,,,
name272,lastname272,July,27,97,BS IT Entrepreneurship,639172751598.00,917.28,917,,,,,,,,,,,,
name273,lastname273,August,7,99,BS Comtech,639275116858.00,927.51,927,,,,,,,,,,,,
name274,lastname274,January,5,97,BS Management,639175805437.00,917.58,917,,,,,,,,,,,,
name275,lastname275,April,20,98,BS Comtech,639174189759.00,917.42,917,,,,,,,,,,,,
name276,lastname276,January,12,1,BS IT Entrepreneurship,639175593566.00,917.56,917,,,,,,,,,,,,
name277,lastname277,December,24,99,BS Legal Management,639274163898.00,927.42,927,,,,,,,,,,,,
name278,lastname278,February,8,97,BS Management,639177356446.00,917.74,917,,,,,,,,,,,,
name279,lastname279,October,12,98,BS Legal Management,639273594345.00,927.36,927,,,,,,,,,,,,
name280,lastname280,November,15,0,BS Management,639181839884.00,918.18,918,,,,,,,,,,,,
name281,lastname281,February,12,97,BS Management,639185412404.00,918.54,918,,,,,,,,,,,,
name282,lastname282,March,23,98,BS Management,639183931948.00,918.39,918,,,,,,,,,,,,
name283,lastname283,November,3,97,BS IT Entrepreneurship,639189273119.00,918.93,918,,,,,,,,,,,,
name284,lastname284,August,13,99,BS Comtech,639278684707.00,927.87,927,,,,,,,,,,,,
name285,lastname285,September,17,98,BS Comtech,639274198095.00,927.42,927,,,,,,,,,,,,
name286,lastname286,December,28,99,BS IT Entrepreneurship,639279078179.00,927.91,927,,,,,,,,,,,,
name287,lastname287,February,18,98,BS Comtech,639179925274.00,917.99,917,,,,,,,,,,,,
name288,lastname288,April,4,1,BS IT Entrepreneurship,639175276893.00,917.53,917,,,,,,,,,,,,
name289,lastname289,October,15,97,BS Management Engineering,639177569357.00,917.76,917,,,,,,,,,,,,
name290,lastname290,July,8,97,BS Management Engineering,639189274291.00,918.93,918,,,,,,,,,,,,
name291,lastname291,December,27,0,BS Management,639189741369.00,918.97,918,,,,,,,,,,,,
